Data Set, Training Accuracy, Test Accuracy, Selected Features, Cost Time
Alizadeh-2000-v1,1,0.833333,217,67.7766
Alizadeh-2000-v2,1,1,833,15.9235
Armstrong-2002-v1,1,0.904762,411,6.7629
Bittner-2000,1,0.727273,110,16.2468
Dyrskjot-2003,1,0.833333,401,37.9603
Garber-2001,0.979167,0.842105,3,68932.2038
Liang-2005,0.962963,0.818182,1,19040.2567
Nutt-2003-v2,1,0.875,191,90.0356
Nutt-2003-v3,1,0.5,180,126.7908
Pomeroy-2002-v1,1,0.8,130,44.2896
Pomeroy-2002-v2,0.933333,0.666667,5,16729.5464
Shipp-2002-v1,1,0.869565,243,162.9885
West-2001,1,0.857143,245,4049.4585
